Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
ERR1797971_2	ERR1797971_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27609615.0	2.7 Gbp	0.0	100.0	44.0	19.063921904480296	100.0	100	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
ERR1797971_2_paired	ERR1797971_2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14186338.0	1.4 Gbp	0.0	36-100	42.0	20.018232818987293	99.27778127096647	100	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
ERR1797972_1	ERR1797972_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27078884.0	2.7 Gbp	0.0	100.0	43.0	19.398657676757843	100.0	100	pass	pass	warn	pass	warn	pass	pass	pass	fail	warn	fail
ERR1797972_1_paired	ERR1797972_1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13896690.0	1.3 Gbp	0.0	36-100	41.0	18.762032461467708	99.72221205193468	100	pass	pass	warn	pass	warn	pass	pass	warn	fail	warn	pass
ERR1797972_2	ERR1797972_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27078884.0	2.7 Gbp	0.0	100.0	42.0	22.279915068051608	100.0	100	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	fail
ERR1797972_2_paired	ERR1797972_2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13896690.0	1.3 Gbp	0.0	36-100	40.0	22.06694993717912	99.27670049486605	100	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
ERR1797973_1	ERR1797973_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23953340.0	2.3 Gbp	0.0	100.0	42.0	19.375159911229265	100.0	100	pass	pass	warn	pass	warn	pass	pass	pass	fail	warn	fail
ERR1797973_1_paired	ERR1797973_1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13831750.0	1.3 Gbp	0.0	36-100	41.0	18.504678291529476	99.75080441737308	100	pass	pass	warn	pass	warn	pass	pass	warn	fail	warn	pass
ERR1797973_2	ERR1797973_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23953340.0	2.3 Gbp	0.0	100.0	42.0	22.11581957983234	100.0	100	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	fail
ERR1797973_2_paired	ERR1797973_2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13831750.0	1.3 Gbp	0.0	36-100	40.0	21.468347154777362	99.35446671606991	100	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
ERR1797974_1	ERR1797974_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23240177.0	2.3 Gbp	0.0	100.0	43.0	21.25652207572852	100.0	100	pass	pass	warn	pass	warn	pass	pass	pass	fail	warn	fail
ERR1797974_1_paired	ERR1797974_1_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12544127.0	1.2 Gbp	0.0	36-100	41.0	20.389268930138773	99.73056136150407	100	pass	pass	warn	pass	warn	pass	pass	warn	fail	warn	pass
ERR1797974_2	ERR1797974_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23240177.0	2.3 Gbp	0.0	100.0	42.0	24.364730807428277	100.0	100	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	fail
ERR1797974_2_paired	ERR1797974_2_paired.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12544127.0	1.2 Gbp	0.0	36-100	40.0	24.04185868275688	99.21688910675091	100	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
